section_name,section_url,page_url,page_title,pdf_url,filename
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/saudi-arabian-monetary-law,Saudi Arabian Monetary Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_979_VER1.pdf,SAMA_EN_979_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/banking-control-law,Banking Control Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_996_VER1.pdf,SAMA_EN_996_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/implementation-rules-banking-control-law-0,Implementation Rules for Banking Control Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1429_VER1.pdf,SAMA_EN_1429_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/finance-companies-control-law,Finance Companies Control Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1023_VER1.pdf,SAMA_EN_1023_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/implementing-regulation-finance-companies-control-law-0,Implementing Regulation of the Finance Companies Control Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_10698_VER1.pdf,SAMA_EN_10698_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/real-estate-finance-law,Real Estate Finance Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1272_VER1.pdf,SAMA_EN_1272_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/implementing-regulation-real-estate-finance-law,Implementing Regulation of the Real Estate Finance Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_190_VER1.pdf,SAMA_EN_190_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/finance-lease-law,Finance Lease Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1073_VER1.pdf,SAMA_EN_1073_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/implementing-regulation-finance-lease-law,Implementing Regulation of the Finance Lease Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_123_VER1.pdf,SAMA_EN_123_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/law-payments-and-payment-services,Law of Payments and Payment Services | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1195_VER1.pdf,SAMA_EN_1195_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/implementing-regulations-payments-and-payment-services-law,Implementing Regulations of Payments and Payment Services Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1430_VER1.pdf,SAMA_EN_1430_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/credit-information-law,Credit Information Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_961_VER1.pdf,SAMA_EN_961_VER1.pdf
